id,num1,num2,num3,num4,num5
1,42,27,55,83,13
2,56,72,95,67,88
3,6,96,37,69,7
4,20,21,32,73,56
5,49,93,21,46,41
6,90,80,34,64,14
7,19,85,83,39,47
8,29,21,84,76,36
9,45,57,65,68,92
10,76,48,48,2,98
11,3,21,56,83,9
12,77,82,90,89,46
13,4,52,7,12,24
14,8,85,32,71,24
15,67,37,39,2,62
16,22,6,19,46,76
17,12,4,27,10,65
18,92,15,19,21,49
19,23,18,36,74,95
20,58,3,4,67,76
21,70,26,13,82,53
22,15,4,22,13,80
23,81,40,66,32,89
24,72,16,8,14,30
25,22,56,21,74,27
26,17,17,84,25,42
27,27,78,21,55,37
28,27,24,80,70,4
29,83,74,59,33,30
30,79,80,40,33,22
31,37,19,80,36,83
32,16,4,69,7,97
33,30,61,6,50,47
34,9,66,19,99,78
35,75,72,36,11,12
36,23,28,52,79,24
37,13,77,96,44,85
38,91,39,15,77,51
39,4,9,25,80,67
40,50,82,2,50,10
41,79,14,81,30,97
42,3,17,13,79,3
43,43,81,70,58,36
44,87,61,15,54,44
45,18,3,72,2,15
46,41,73,70,57,48
47,76,19,21,26,6
48,93,25,1,33,1
49,52,86,80,88,6
50,29,28,76,67,91
51,11,100,100,17,35
52,9,55,63,14,18
53,45,23,15,52,86
54,49,36,58,46,51
55,24,16,13,10,62
56,13,80,64,4,43
57,85,54,1,27,82
58,9,51,61,67,87
59,12,38,56,43,49
60,49,6,8,75,89
61,61,33,41,27,1
62,37,61,57,38,22
63,83,95,1,31,72
64,78,91,97,50,60
65,88,37,41,30,34
66,87,35,51,38,80
67,97,96,83,62,38
68,12,9,67,1,12
69,85,14,31,34,48
70,38,62,53,85,74
71,44,26,46,57,91
72,88,70,11,66,43
73,79,67,12,80,23
74,61,32,81,8,46
75,20,33,81,49,4
76,65,92,66,21,25
77,42,57,45,53,80
78,17,58,85,59,59
79,93,12,86,22,70
80,79,4,40,94,68
81,49,83,10,55,58
82,99,88,58,32,47
83,17,28,96,91,35
84,28,78,66,57,93
85,46,73,45,74,60
86,77,79,40,21,3
87,63,62,12,9,41
